"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2019","11,118.00","11,839.90","11,981.75","10,999.40","9.99B","-5.69%"
"06/01/2019","11,788.85","11,953.75","12,103.05","11,625.10","6.79B","-1.12%"
"05/01/2019","11,922.80","11,725.55","12,041.15","11,108.30","8.65B","1.49%"
"04/01/2019","11,748.15","11,665.20","11,856.15","11,549.10","6.52B","1.07%"
"03/01/2019","11,623.90","10,842.65","11,630.35","10,817.00","6.86B","7.70%"
"02/01/2019","10,792.50","10,851.35","11,118.10","10,585.65","7.46B","-0.36%"
"01/01/2019","10,830.95","10,881.70","10,987.45","10,583.65","7.43B","-0.29%"
"12/01/2018","10,862.55","10,930.70","10,985.15","10,333.85","6.74B","-0.13%"
"11/01/2018","10,876.75","10,441.70","10,922.45","10,341.90","6.79B","4.72%"
"10/01/2018","10,386.60","10,930.90","11,035.65","10,004.55","8.14B","-4.98%"
"09/01/2018","10,930.45","11,751.80","11,751.80","10,850.30","6.03B","-6.42%"
"08/01/2018","11,680.50","11,359.80","11,760.20","11,234.95","5.41B","2.85%"
"07/01/2018","11,356.50","10,732.35","11,366.00","10,604.65","5.29B","5.99%"
"06/01/2018","10,714.30","10,738.45","10,893.25","10,550.90","4.83B","-0.20%"
"05/01/2018","10,736.15","10,783.85","10,929.20","10,417.80","5.50B","-0.03%"
"04/01/2018","10,739.35","10,151.65","10,759.00","10,111.30","4.95B","6.19%"
"03/01/2018","10,113.70","10,479.95","10,525.50","9,951.90","4.52B","-3.61%"
"02/01/2018","10,492.85","11,044.55","11,117.35","10,276.30","4.53B","-4.85%"
"01/01/2018","11,027.70","10,531.70","11,171.55","10,404.65","4.84B","4.72%"
"12/01/2017","10,530.70","10,263.70","10,552.40","10,033.35","3.61B","2.97%"
"11/01/2017","10,226.55","10,390.35","10,490.45","10,094.00","4.79B","-1.05%"
"10/01/2017","10,335.30","9,893.30","10,384.50","9,831.05","4.64B","5.59%"
"09/01/2017","9,788.60","9,937.65","10,178.95","9,687.55","4.29B","-1.30%"
"08/01/2017","9,917.90","10,101.05","10,137.85","9,685.55","4.30B","-1.58%"
"07/01/2017","10,077.10","9,587.95","10,114.85","9,543.55","3.85B","5.84%"
"06/01/2017","9,520.90","9,603.55","9,709.30","9,448.75","3.67B","-1.04%"
"05/01/2017","9,621.25","9,339.85","9,649.60","9,269.90","4.68B","3.41%"
"04/01/2017","9,304.05","9,220.60","9,367.15","9,075.15","3.15B","1.42%"
"03/01/2017","9,173.75","8,904.40","9,218.40","8,860.10","4.98B","3.31%"
"02/01/2017","8,879.60","8,570.35","8,982.15","8,537.50","4.53B","3.72%"
"01/01/2017","8,561.30","8,210.10","8,672.70","8,133.80","4.13B","4.59%"
"12/01/2016","8,185.80","8,244.00","8,274.95","7,893.80","3.22B","-0.47%"
"11/01/2016","8,224.50","8,653.15","8,669.60","7,916.40","4.73B","-4.65%"
"10/01/2016","8,625.70","8,666.15","8,806.95","8,506.15","3.42B","0.17%"
"09/01/2016","8,611.15","8,793.60","8,968.70","8,555.20","4.02B","-1.99%"
"08/01/2016","8,786.20","8,654.30","8,819.20","8,518.15","4.22B","1.71%"
"07/01/2016","8,638.50","8,313.05","8,674.70","8,287.55","3.42B","4.23%"
"06/01/2016","8,287.75","8,179.20","8,308.15","7,927.05","4.32B","1.56%"
"05/01/2016","8,160.10","7,822.70","8,213.60","7,678.35","4.50B","3.95%"
"04/01/2016","7,849.80","7,718.05","7,992.00","7,516.85","3.65B","1.44%"
"03/01/2016","7,738.40","7,038.25","7,777.60","7,035.10","4.96B","10.75%"
"02/01/2016","6,987.05","7,589.50","7,600.45","6,825.80","5.33B","-7.62%"
"01/01/2016","7,563.55","7,938.45","7,972.55","7,241.50","3.96B","-4.82%"
"12/01/2015","7,946.35","7,958.15","7,979.30","7,551.05","3.12B","0.14%"
"11/01/2015","7,935.25","8,054.55","8,116.10","7,714.15","3.16B","-1.62%"
"10/01/2015","8,065.80","7,992.05","8,336.30","7,930.65","3.47B","1.47%"
"09/01/2015","7,948.90","7,907.95","8,055.00","7,539.50","3.54B","-0.28%"
"08/01/2015","7,971.30","8,510.65","8,621.55","7,667.25","4.06B","-6.58%"
"07/01/2015","8,532.85","8,376.25","8,654.75","8,315.40","3.19B","1.96%"
"06/01/2015","8,368.50","8,417.25","8,467.15","7,940.30","3.25B","-0.77%"
"05/01/2015","8,433.65","8,230.05","8,489.55","7,997.15","3.49B","3.08%"
"04/01/2015","8,181.50","8,483.70","8,844.80","8,144.75","3.37B","-3.65%"
"03/01/2015","8,491.00","8,953.85","9,119.20","8,269.15","3.84B","-4.62%"
"02/01/2015","8,901.85","8,802.50","8,941.10","8,470.50","3.78B","1.06%"
"01/01/2015","8,808.90","8,272.80","8,996.60","8,065.45","3.49B","6.35%"
"12/01/2014","8,282.70","8,605.10","8,626.95","7,961.35","3.15B","-3.56%"
"11/01/2014","8,588.25","8,348.15","8,617.00","8,290.25","2.70B","3.20%"
"10/01/2014","8,322.20","7,960.50","8,330.75","7,723.85","2.70B","4.49%"
"09/01/2014","7,964.80","7,990.35","8,180.20","7,841.80","2.93B","0.13%"
"08/01/2014","7,954.35","7,662.50","7,968.25","7,540.10","2.48B","3.02%"
"07/01/2014","7,721.30","7,629.00","7,840.95","7,422.15","3.32B","1.44%"
"06/01/2014","7,611.35","7,264.05","7,700.05","7,239.50","3.62B","5.28%"
"05/01/2014","7,229.95","6,709.95","7,563.50","6,638.55","4.28B","7.97%"
"04/01/2014","6,696.40","6,729.50","6,869.85","6,650.40","2.67B","-0.12%"
"03/01/2014","6,704.20","6,264.35","6,730.05","6,212.25","3.86B","6.81%"
"02/01/2014","6,276.95","6,058.80","6,282.70","5,933.30","2.80B","3.08%"
"01/01/2014","6,089.50","6,323.80","6,358.30","6,027.25","3.35B","-3.40%"
"12/01/2013","6,304.00","6,171.15","6,415.25","6,129.95","3.62B","2.07%"
"11/01/2013","6,176.10","6,289.75","6,342.95","5,972.45","3.02B","-1.95%"
"10/01/2013","6,299.15","5,756.10","6,309.05","5,700.95","3.84B","9.83%"
"09/01/2013","5,735.30","5,480.25","6,142.50","5,318.90","4.49B","4.82%"
"08/01/2013","5,471.80","5,776.90","5,808.50","5,118.85","5.01B","-4.71%"
"07/01/2013","5,742.00","5,834.10","6,093.35","5,675.75","3.52B","-1.72%"
"06/01/2013","5,842.20","5,997.35","6,011.00","5,566.25","2.98B","-2.40%"
"05/01/2013","5,985.95","5,911.40","6,229.45","5,910.95","3.08B","0.94%"
"04/01/2013","5,930.20","5,697.35","5,962.30","5,477.20","2.73B","4.36%"
"03/01/2013","5,682.55","5,702.45","5,971.20","5,604.85","2.88B","-0.18%"
"02/01/2013","5,693.05","6,040.95","6,052.95","5,671.90","3.08B","-5.66%"
"01/01/2013","6,034.75","5,937.65","6,111.80","5,935.20","3.08B","2.20%"
"12/01/2012","5,905.10","5,878.25","5,965.15","5,823.15","2.41B","0.43%"
"11/01/2012","5,879.85","5,609.85","5,885.25","5,548.35","2.30B","4.63%"
"10/01/2012","5,619.70","5,704.75","5,815.35","4,888.20","2.77B","-1.47%"
"09/01/2012","5,703.30","5,276.50","5,735.15","5,215.70","3.36B","8.46%"
"08/01/2012","5,258.50","5,220.70","5,448.60","5,164.65","2.75B","0.56%"
"07/01/2012","5,229.00","5,283.85","5,348.55","5,032.40","2.67B","-0.95%"
"06/01/2012","5,278.90","4,910.85","5,286.25","4,770.35","3.04B","7.20%"
"05/01/2012","4,924.25","5,254.30","5,279.60","4,788.95","3.23B","-6.17%"
"04/01/2012","5,248.15","5,296.35","5,378.75","5,154.30","2.74B","-0.90%"
"03/01/2012","5,295.55","5,366.00","5,499.40","5,135.95","4.16B","-1.66%"
"02/01/2012","5,385.20","5,198.15","5,629.95","5,159.00","5.04B","3.58%"
"01/01/2012","5,199.25","4,640.20","5,217.00","4,588.05","4.15B","12.43%"
"12/01/2011","4,624.30","4,970.85","5,099.25","4,531.15","3.43B","-4.30%"
"11/01/2011","4,832.05","5,278.60","5,326.45","4,639.10","3.30B","-9.28%"
"10/01/2011","5,326.60","4,874.40","5,399.70","4,728.30","2.96B","7.76%"
"09/01/2011","4,943.25","5,109.80","5,169.25","4,758.85","3.49B","-1.15%"
"08/01/2011","5,001.00","5,527.50","5,551.90","4,720.00","3.10B","-8.77%"
"07/01/2011","5,482.00","5,705.75","5,740.40","5,453.95","2.32B","-2.93%"
"06/01/2011","5,647.40","5,561.05","5,657.90","5,195.90","2.36B","1.57%"
"05/01/2011","5,560.15","5,766.90","5,775.25","5,328.70","2.39B","-3.29%"
"04/01/2011","5,749.50","5,835.00","5,944.45","5,693.25","2.16B","-1.44%"
"03/01/2011","5,833.75","5,382.00","5,872.00","5,348.20","3.22B","9.38%"
"02/01/2011","5,333.25","5,537.30","5,599.25","5,177.70","3.73B","-3.14%"
"01/01/2011","5,505.90","6,177.45","6,181.05","5,416.65","3.07B","-10.25%"
"12/01/2010","6,134.50","5,871.00","6,147.30","5,721.15","2.99B","4.64%"
"11/01/2010","5,862.70","6,092.30","6,338.50","5,690.35","3.30B","-2.58%"
"10/01/2010","6,017.70","6,030.30","6,284.10","5,937.10","2.91B","-0.20%"
"09/01/2010","6,029.95","5,403.05","6,073.50","5,403.05","3.61B","11.62%"
"08/01/2010","5,402.40","5,369.55","5,549.80","5,348.90","3.21B","0.65%"
"07/01/2010","5,367.60","5,312.05","5,477.50","5,225.60","3.34B","1.04%"
"06/01/2010","5,312.50","5,086.25","5,366.75","4,961.05","4.04B","4.45%"
"05/01/2010","5,086.30","5,278.40","5,278.70","4,786.45","3.92B","-3.63%"
"04/01/2010","5,278.00","5,249.20","5,399.65","5,160.90","3.15B","0.55%"
"03/01/2010","5,249.10","4,935.60","5,329.55","4,935.35","3.42B","6.64%"
"02/01/2010","4,922.30","4,882.05","4,992.00","4,675.40","3.56B","0.82%"
"01/01/2010","4,882.05","5,200.90","5,310.85","4,766.00","3.88B","-6.13%"
"12/01/2009","5,201.05","5,039.70","5,221.85","4,943.95","4.39B","3.35%"
"11/01/2009","5,032.70","4,712.25","5,138.00","4,538.50","5.19B","6.81%"
"10/01/2009","4,711.70","5,087.20","5,181.95","4,687.50","4.89B","-7.32%"
"09/01/2009","5,083.95","4,662.20","5,087.60","4,576.60","4.68B","9.05%"
"08/01/2009","4,662.10","4,633.80","4,743.75","4,353.45","5.34B","0.55%"
"07/01/2009","4,636.45","4,292.30","4,669.75","3,918.75","7.01B","8.05%"
"06/01/2009","4,291.10","4,450.40","4,693.20","4,143.25","7.98B","-3.55%"
"05/01/2009","4,448.95","3,478.70","4,509.40","3,478.70","7.14B","28.07%"
"04/01/2009","3,473.95","3,023.85","3,517.25","2,965.70","6.43B","15.00%"
"03/01/2009","3,020.95","2,764.60","3,123.35","2,539.45","5.34B","9.31%"
"02/01/2009","2,763.65","2,872.35","2,969.75","2,677.55","3.95B","-3.87%"
"01/01/2009","2,874.80","2,963.30","3,147.20","2,661.65","6.11B","-2.85%"
"12/01/2008","2,959.15","2,755.15","3,110.45","2,570.70","6.35B","7.41%"
"11/01/2008","2,755.10","2,885.40","3,240.55","2,502.90","4.55B","-4.52%"
"10/01/2008","2,885.60","3,921.85","4,000.50","2,252.75","4.87B","-26.41%"
"09/01/2008","3,921.20","4,356.10","4,558.00","3,715.05","3.09B","-10.06%"
"08/01/2008","4,360.00","4,331.60","4,649.85","4,201.85","2.36B","0.62%"
"07/01/2008","4,332.95","4,039.75","4,539.45","3,790.20","3.62B","7.24%"
"06/01/2008","4,040.55","4,869.25","4,908.80","4,021.70","3.04B","-17.03%"
"05/01/2008","4,870.10","5,265.30","5,298.85","4,801.90","2.88B","-5.73%"
"04/01/2008","5,165.90","4,735.65","5,230.75","4,628.75","2.68B","9.11%"
"03/01/2008","4,734.50","5,222.80","5,222.80","4,468.55","2.64B","-9.36%"
"02/01/2008","5,223.50","5,140.60","5,545.20","4,803.60","2.12B","1.67%"
"01/01/2008","5,137.45","6,136.75","6,357.10","4,448.50","3.14B","-16.31%"
"12/01/2007","6,138.60","5,765.45","6,185.40","5,676.70","2.06B","6.52%"
"11/01/2007","5,762.75","5,903.80","6,011.95","5,394.35","3.53B","-2.34%"
"10/01/2007","5,900.65","5,021.50","5,976.00","5,000.95","3.50B","17.51%"
"09/01/2007","5,021.35","4,466.65","5,055.80","4,445.55","1.88B","12.49%"
"08/01/2007","4,464.00","4,528.85","4,532.90","4,002.20","1.73B","-1.43%"
"07/01/2007","4,528.85","4,318.40","4,647.95","4,304.00","1.92B","4.88%"
"06/01/2007","4,318.30","4,296.05","4,362.95","4,100.80","1.58B","0.52%"
"05/01/2007","4,295.80","4,089.45","4,306.75","3,981.15","1.72B","5.09%"
"04/01/2007","4,087.90","3,820.00","4,217.90","3,617.00","1.64B","6.97%"
"03/01/2007","3,821.55","3,745.40","3,901.75","3,554.50","1.79B","2.04%"
"02/01/2007","3,745.30","4,083.40","4,245.30","3,674.85","1.55B","-8.26%"
"01/01/2007","4,082.70","3,966.25","4,167.15","3,833.60","1.52B","2.93%"
"12/01/2006","3,966.40","3,955.70","4,046.85","3,657.65","1.35B","0.30%"
"11/01/2006","3,954.50","3,744.10","3,976.80","3,737.00","1.52B","5.62%"
"10/01/2006","3,744.10","3,588.95","3,782.85","3,508.65","1.41B","4.34%"
"09/01/2006","3,588.40","3,414.00","3,603.70","3,328.45","1.40B","5.11%"
"08/01/2006","3,413.90","3,128.20","3,452.30","3,113.60","1.37B","8.61%"
"07/01/2006","3,143.20","3,128.75","3,208.85","2,878.25","1.59B","0.48%"
"06/01/2006","3,128.20","3,072.55","3,134.15","2,595.65","2.15B","1.86%"
"05/01/2006","3,071.05","3,557.55","3,774.15","2,896.40","2.39B","-13.68%"
"04/01/2006","3,557.60","3,403.15","3,598.95","3,290.35","1.83B","4.56%"
"03/01/2006","3,402.55","3,074.60","3,433.85","3,064.00","2.09B","10.66%"
"02/01/2006","3,074.70","3,001.30","3,090.30","2,928.10","1.44B","2.45%"
"01/01/2006","3,001.10","2,836.80","3,005.10","2,783.85","1.58B","5.80%"
"12/01/2005","2,836.55","2,651.60","2,857.00","2,641.95","1.71B","6.95%"
"11/01/2005","2,652.25","2,366.80","2,727.05","2,366.80","1.41B","11.86%"
"10/01/2005","2,370.95","2,601.00","2,669.20","2,307.45","1.74B","-8.86%"
"09/01/2005","2,601.40","2,384.70","2,633.90","2,382.90","1.48B","9.09%"
"08/01/2005","2,384.65","2,312.05","2,426.65","2,294.25","1.56B","3.13%"
"07/01/2005","2,312.30","2,220.45","2,332.55","2,171.25","1.29B","4.13%"
"06/01/2005","2,220.60","2,087.80","2,226.15","2,061.35","1.32B","6.37%"
"05/01/2005","2,087.55","1,903.10","2,099.35","1,898.15","1.15B","9.73%"
"04/01/2005","1,902.50","2,035.90","2,084.90","1,896.30","1.14B","-6.54%"
"03/01/2005","2,035.65","2,103.10","2,183.45","1,971.15","1.61B","-3.21%"
"02/01/2005","2,103.25","2,057.75","2,110.15","2,036.60","1.48B","2.22%"
"01/01/2005","2,057.60","2,080.00","2,120.15","1,894.40","1.73B","-1.10%"
"12/01/2004","2,080.50","1,960.75","2,088.45","1,944.50","1.95B","6.21%"
"11/01/2004","1,958.80","1,787.30","1,963.80","1,776.70","1.55B","9.62%"
"10/01/2004","1,786.90","1,744.40","1,829.45","1,737.85","1.73B","2.37%"
"09/01/2004","1,745.50","1,631.70","1,760.80","1,619.90","2.27B","6.97%"
"08/01/2004","1,631.75","1,631.55","1,658.90","1,573.70","2.43B","-0.03%"
"07/01/2004","1,632.30","1,506.65","1,638.70","1,472.55","2.93B","8.42%"
"06/01/2004","1,505.60","1,483.90","1,566.50","1,437.90","2.28B","1.48%"
"05/01/2004","1,483.60","1,796.10","1,837.95","1,292.20","2.39B","-17.40%"
"04/01/2004","1,796.10","1,771.45","1,912.35","1,771.45","2.04B","1.37%"
"03/01/2004","1,771.90","1,798.35","1,898.70","1,669.70","2.44B","-1.58%"
"02/01/2004","1,800.30","1,809.30","1,935.80","1,755.65","2.34B","-0.52%"
"01/01/2004","1,809.75","1,880.35","2,014.65","1,756.25","2.72B","-3.72%"
"12/01/2003","1,879.75","1,615.85","1,914.40","1,615.70","2.34B","16.38%"
"11/01/2003","1,615.25","1,556.50","1,630.25","1,509.15","2.31B","3.81%"
"10/01/2003","1,555.90","1,416.60","1,574.10","1,407.95","3.47B","9.79%"
"09/01/2003","1,417.10","1,356.70","1,430.70","1,285.25","3.22B","4.46%"
"08/01/2003","1,356.55","1,185.80","1,365.80","1,164.75","3.09B","14.39%"
"07/01/2003","1,185.85","1,133.95","1,198.50","1,089.30","1.77B","4.56%"
"06/01/2003","1,134.15","1,006.85","1,141.30","1,004.70","1.47B","12.65%"
"05/01/2003","1,006.80","930.90","1,013.85","930.80","1.28B","7.79%"
"04/01/2003","934.05","977.40","1,033.45","920.00","1.21B","-4.51%"
"03/01/2003","978.20","1,063.55","1,070.85","974.10","894.12M","-8.01%"
"02/01/2003","1,063.40","1,040.25","1,075.50","1,034.10","977.16M","2.07%"
"01/01/2003","1,041.85","1,093.60","1,105.60","1,026.20","1.27B","-4.72%"
"12/01/2002","1,093.50","1,050.15","1,103.95","1,034.10","1.34B","4.13%"
"11/01/2002","1,050.15","951.45","1,057.45","946.40","1.18B","10.38%"
"10/01/2002","951.40","961.15","983.60","920.10","1.04B","-1.22%"
"09/01/2002","963.15","1,010.90","1,024.65","960.20","858.72M","-4.70%"
"08/01/2002","1,010.60","959.20","1,012.75","935.55","945.39M","5.39%"
"07/01/2002","958.90","1,058.00","1,087.40","943.60","988.64M","-9.35%"
"06/01/2002","1,057.80","1,029.25","1,102.05","1,029.25","830.00M","2.82%"
"05/01/2002","1,028.80","1,084.80","1,136.55","1,020.10","1.01B","-5.14%"
"04/01/2002","1,084.50","1,129.85","1,153.30","1,073.30","874.09M","-3.99%"
"03/01/2002","1,129.55","1,142.05","1,201.10","1,117.85","929.78M","-1.09%"
"02/01/2002","1,142.05","1,076.95","1,205.95","1,069.40","1.29B","6.20%"
"01/01/2002","1,075.40","1,058.85","1,121.75","1,052.05","1.42B","1.54%"
"12/01/2001","1,059.05","1,067.20","1,132.65","1,010.45","1.06B","-0.76%"
